CourseTitle,display,Description,CourseURL,Comp01,Comp01Level,Comp02,Comp02Level,Comp03,Comp03Level,Comp04,Comp04Level,Comp05,Comp05Level,Comp06,Comp06Level,Comp07,Comp07Level,Comp08,Comp08Level,Comp09,Comp09Level,Comp10,Comp10Level,Comp11,Comp11Level,Comp12,Comp12Level,Comp13,Comp13Level,Comp14,Comp14Level,Comp15,Comp15Level,Comp16,Comp16Level,Comp17,Comp17Level,Comp18,Comp18Level,Comp19,Comp19Level,Comp20,Comp20Level,Comp21,Comp21Level,TRAINURL,DateEdited,UserEdited,CourseID,Format,Cost,Duration,email,subjArea1,SubjArea2,subjArea3,original
The Unheard Voice: Addressing Violence Against Women with Disabilities,1,"The Department of Human Services, Division of Disability Services was awarded a three-year grant in 2005, from the Robert Wood Johnson Foundation, New Jersey Health Initiatives (RWJF). This grant project, titled “The Unheard Voice: Addressing Violence Against Women with Disabilities” began as a statewide conference held in September of 2004, and has continued unto this day providing training and education materials for healthcare providers and for women with disabilities on issues of violence and other abuse, for use in New Jersey. The seminar is an educational session to help participants recognize violence and other abuse perpetrated against women with disabilities and to provide appropriate, sensitive supports and highlight services available to this population. The presentation will challenge participant's abilities to assess and recognize signs of abuse; and respond appropriately and sensitively by providing support, services, and referrals that address the special needs of women with disabilities. Parti",http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/10/6_PHSS_-_Addressing_Violence_Against_Women_with_Disabilities.html,1A2,A,1A3,A,1A5,A,5A10,A,4A2,A,1A1,A,1B2,,1B3,,1B5,,5B10,,4B2,,5A1,,1B1,,5B1,,,,,,,,,,,,,,,,,,,357,Webstream,free,1 hour,,16,6,40,0
2009 Pandemic Influenza: H1N1 Current Status and Updates,1,"2009 H1N1 (referred to as ""swine flu"" early on) is a new influenza virus causing illness in people. This new virus was first detected in people in the United States in April 2009. This virus is spreading from person-to-person worldwide, probably in much the same way that regular seasonal influenza viruses spread. On June 11, 2009, the World Health Organization (WHO) signaled that a pandemic of 2009 H1N1 flu was underway. This workshop will present some of the history and understanding the science community brings us about the viral evolution of the novel influenze A (H1N1), along with the changing epidemiology of the pandemic. The presenter will lay out the implications associated with the idea of a pandemic situation, will discuss mode of transmission among humans, what the signs and symptoms of this virus are, and will review the prevention and treatment options as well as the recommended public health policies and practices with respect to the novel influenza A (H1N1) virus.",http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/11/10_PHSS_-_H1N1_-_Swine_Flu_-_Information_and_Update.html,1A2,A,1A3,A,1A5,A,1A9,A,1A10,A,2A1,A,1B2,,1B3,,1B5,,1B9,,1B10,,2B1,,,,,,,,,,,,,,,,,,,,,,,359,Webstream,free,1.5 hours,,14,8,32,0
Preventing Workplace Violence,1,"The National Institute for Occupational Safety and Health (NIOSH) defines workplace violence as ""violent acts (including physical assaults and threats of assaults) directed toward persons at work or on duty."" This includes terrorism as illustrated by the terrorist acts of September 11, 2001 that resulted in the deaths of 2,886 workers in New York, Virginia and Pennsylvania. Incidents of work related violence were virtually unheard of until the 1970s. Since then, it has more than tripled. There are many contributing factors and social issues, especially substance abuse, illegal drugs, access to guns, the portrayal of violence in the news media, online games, TV and movies layoffs, and poverty are major contributors to occupational violence. The goal of the program is to provide an overview to address potential or actual workplace violence.",http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/12/15_PHSS_-_Preventing_Workplace_Violence.html,1A2,A,1A3,A,1A5,A,1A10,A,8A1,A,1B2,,1B3,,1B5,,1B10,,8B1,,,,,,,,,,,,,,,,,,,,,,,,,,,360,Webstream,free,1.5 hours,,26,16,36,0
Colorectal Cancer Screening in the African-American Community,1,"Colorectal cancer (CRC) affects all racial and ethnic groups, but African-Americans have the highest occurrence of CRC among all racial and ethnic groups in the US. Furthermore, CRC screening is underused among African-Americans. Various factors have been identified as barriers and facilitators to CRC screening among African-Americans. This presentation will inform participants about the background and significance of CRC screening in the African-American community, CRC treatment options, barriers and facilitators to CRC screening in this community and suggested strategies to improve screening rates. Participants will learn about CRC screening in the African-American community in the attempt to help minimize adverse health outcomes in this population and address the wider societal problem of health disparities in the US. Additionally, participants will have the opportunity to reflect on how health interventions can be more responsive to the cultural, ethnic, and social characteristics of affected populations.",http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2010/1/6_PHSS_-_Colorectal_Cancer_Screening_in_the_African-American_Community.html,1A2,A,1A3,A,4A1,A,4A2,A,4A3,A,1B2,,1B3,,4B1,,4B2,,4B3,,,,,,,,,,,,,,,,,,,,,,,,,,,361,Webstream,free,1 hour,,24,5,4,0
Tuberculosis Update 2010,1,"This seminar will present information on epidemiology of tuberculosis, both globally and in the United States. Tuberculosis continues to be a major public health threat globally; in 2006 there were 9.2 million new cases of tuberculosis and 1.7 million deaths from TB worldwide. The seminar will also discuss current challenges to TB control including drug resistance, the TB/HIV co-epidemic and lack of resources for diagnosis and treatment in international settings. Tuberculosis is still a challenge in the United States as well, particularly in specific populations. Since TB is airborne and a person with infectious TB can be a threat to public health, a system of public health regulations exists around diagnosis, reporting, and treatment. The seminar will also provide an overview of the public health practices and infrastructure involved in TB control nationally, and specifically in New Jersey.",http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2010/2/4_PHSS_-_Tuberculosis_Update_2010.html,1A2,A,1A3,A,1A5,A,1A9,A,1A10,A,2A1,A,1B2,,1B3,,1B5,,1B9,,1B10,,2B1,,,,,,,,,,,,,,,,,,,,,,,362,Webstream,free,1.5 hours,,14,17,8,0
Addressing Low Level Lead Exposure in Children,1,Present a brief understanding of the Epidemiological studies that have been used to draw attention to the need for standards in regards to childhood safety with regard to lead exposure. Review and present the findings from several studies that show the need for continued lowering of acceptable lead levels for children. Present findings that show the need to provide an adequate margin of safety by identifying children with body burden below that at which the risk of developmental toxicity becomes unacceptable. To present the arguments that have prompted the state to lower the lead level burden children face and why it may be better to leave the standards alone.,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2010/2/18_PHSS_-_Addressing_Low_Level_Lead_Exposure_in_Children.html,1A2,A,1A3,A,1A5,A,1A9,A,1A10,A,2A4,A,1B2,,1B3,,1B5,,1B9,,1B10,,2B4,,,,,,,,,,,,,,,,,,,,,,,363,Webstream,free,1.5 hours,,7,22,8,0
Climate Change and Public Health,1,"Howard Frumkin, MD, DrPH, presents the 17th Granville H. Sewell Distinguished Lecture in Environmental Health Sciences.  His lecture covers: the science of climate change, the impacts of climate change, strategies of communicating the impacts of climate change, and the public health response (both conceptual links and practical steps) to climate change",http://a2learning.cumc.columbia.edu:8080/ess/echo/presentation/169f5596-b4c6-4c8b-a6f8-0a5c900b358b,1A2,A,1A3,A,1A9,A,1A12,A,2A1,A,1A1,A,1B2,,1B3,,1B9,,1B12,,2B1,,5A1,,1B1,,5B1,,,,,,,,,,,,,,,,,,,373,Webstream,free,1.5 hours,,7,17,13,0
Transformations Underway in Global Health,1,"Senior Vice President of Global Health Policy at 

PepsiCo Global R&D, Derek Yach, MBChB, MPH, discusses current transformations in the landscape of global health, focusing on the increasing prevalence of chronic disease.  His presentation includes a discussion of: epidemiological data on current global health trends; the expanding set of global health players; the importance of public-private partnerships in public health response; and the broadening career options for global public health professionals.Senior Vice President of Global Health Policy at 

PepsiCo Global R&D, Derek Yach, MBChB, MPH, discusses current transformations in the landscape of global health, focusing on the increasing prevalence of chronic disease.  His presentation includes a discussion of: epidemiological data on current global health trends; the expanding set of global health players; the importance of public-private partnerships in public health response; and the broadening career options for global public health professionals.",http://a2learning.cumc.columbia.edu:8080/ess/echo/presentation/ef04a6ee-9bc7-483f-bb85-77a039e953c8,1A2,A,1A3,A,1A9,A,1A12,A,2A1,A,1A1,,1B2,,1B3,,1B9,,1B12,,5A1,,1B1,,5B1,,,,,,,,,,,,,,,,,,,,,374,Webstream,free,1.5 hours,,17,4,28,0
"Fair Society, Healthy Lives",1,"Professor Sir Michael Marmot MBBS, MPH, PhD, FRCP, FFPHM, FMedSci, discusses the relationship between social inequality and health.  The lecture includes an epidemiological overview of global health inequalities, a discussion of the causes of these health inequalities, and policy recommendations for closing the gap in health outcomes.  Sir Marmot is the Director of the International Institute for Society and Health and an MRC Research Professor of Epidemiology and Public Health at

University College, London.Professor Sir Michael Marmot MBBS, MPH, PhD, FRCP, FFPHM, FMedSci, discusses the relationship between social inequality and health.  The lecture includes an epidemiological overview of global health inequalities, a discussion of the causes of these health inequalities, and policy recommendations for closing the gap in health outcomes.  Sir Marmot is the Director of the International Institute for Society and Health and an MRC Research Professor of Epidemiology and Public Health at

University College, London.",http://a2learning.cumc.columbia.edu:8080/ess/echo/presentation/0eee6444-00d2-4ed8-ad7e-154217b66878,1A2,A,1A3,A,1A5,A,1A9,A,1A12,A,2A4,,1B2,,1B3,,1B5,,1B9,,1B12,,2B4,,,,,,,,,,,,,,,,,,,,,,,375,Webstream,free,1.5 hours,,24,17,31,0
Human Health Risks of Climate Change,1,"Kristi L. Ebi, PhD, MPH, presents information on the intersection of climate change and health.  The lecture includes an overview on the science of predicting climate change, the causes of climate change, and the health impacts of climate change around the world.",http://a2learning.cumc.columbia.edu:8080/ess/echo/presentation/c071ad38-31c0-427d-9253-151c4e457beb,1A2,A,1A4,,1A5,,1A6,,1A9,,1A10,,1B2,,1B4,,1B5,,1A7,,1B6,,1B7,,1B9,,1B10,,,,,,,,,,,,,,,,,,,376,Webstream,free,1.5 hours,,7,31,17,0
What is Public Health?,1,"This online module presents basic public health concepts including: the principles of public health, essential services of public health, the importance of collaboration across governmental and private sector entities, achievements and future challenges of public health, and cultural competency. Application of these elements is stressed through two case studies: public health emergency response to an anhydrous ammonia spill, and an American Indian community that is faced with increasing obesity and diabetes rates among school-age children.",http://www.sph.umn.edu/ce/trainings/coursepage.asp?activityId=7810,1A2,A,4A2,A,4A4,A,5A2,A,5A7,A,6A3,,1B2,,4B2,,4B4,,5B2,,5B7,,6B3,,,,,,,,,,,,,,,,,,,,,,,378,Web-based Course,free,3 hours,,11,5,41,0
New Public Health Administrators Series: Community Planning,,"The course discusses the role of Public Health in community planning, descries healthy planning concepts in relationship to community health planning, and identifies planning models that can be utilized in community health planning.",http://heartlandcenters.learnpublichealth.com/Kview/CustomCodeBehind/base/courseware/scorm/scormcourseframe.aspx,1A2,,1A3,,1A5,,1A9,,1A10,,2A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,Free,2 hours,,31,,,
New Public Health Administrators Series: Overall Aspects of Managing an Agency,,"The course discusses the roles and issues that occur in the management of a local public health agency, how to balance public health functions within a multi-focused agency, the identification of training needs within an agency and how to address these needs, & environmental health enforcement issues that may occur when contracting with local boards of health.",http://heartlandcenters.learnpublichealth.com/Kview/CustomCodeBehind/Base/LearningCenter/CourseInfo.aspx?strCourseId=5D50E577B505464C9ED64018F2296FE1,1A2,,2A1,,5A3,,5A5,,7A4,,7A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,Free,2 hours,,20,47,,
New Public Health Administrators Series: Public Health Knowledge,,"The course discusses the cause of disease and protection/prevention measures, components of the Public Health system, the Ten Essential Services and the three core functions of Public Health, & challenges for the public health system.",http://heartlandcenters.learnpublichealth.com/Kview/CustomCodeBehind/Base/LearningCenter/CourseInfo.aspx?strCourseId=214CCC4985F641369B5CD5B775A746D5,1A2,,1A5,,1A10,,1A12,,2A6,,5A3,,5A8,,5A10,,6A2,,6A3,,6A9,,,,,,,,,,,,,,,,,,,,,,,,,,Online,Free,2 hours,,4,11,14,
New Public Health Administrators Series: Strategic Planning,,"The course discusses the Public Health’s scope of practice, the rationale for strategic planning in Public Health, the guiding principles of strategic planning, & the major questions that should be addressed during the strategic planning process.",http://heartlandcenters.learnpublichealth.com/Kview/CustomCodeBehind/base/courseware/scorm/scormcourseframe.aspx,1A2,,2A1,,2A3,,2A4,,3A2,,5A4,,6A3,,6A7,,7A6,,7A8,,8A7,,,,,,,,,,,,,,,,,,,,,,,,,,Online,Free,2 hours,,31,,,
Managing Rodents and Mosquitoes Through Integrated Pest Management,1,Goal: To provide information on the importance and need for local health authorities to implement integrated pest management as a systems approach in the management of pests and vectors.,http://www.cdc.gov/learning/?s_cid=phtnRetire,1A3,A,1A10,A,5A10,A,5A2,A,1B3,,1B10,,5B10,,5B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Satellite Broadcast,Free,1.5 hours,,29,7,,0
Introduction to Tobacco Control for the Public Health Workforce,1,"This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.This seminar is desinged to enhance awareness of importance for addressing tobacco in comprehensive manner.

Learning Objectives:

1.  Provide an overview of current issues in ETS regulation

2.  Provide and overview of new tobacco product development and regulatory status.

3.  Provide an overview of NJ comprehensive treatment programs.",http://ophp.umdnj.edu/CET/Seminars/PHSS/BurkeTobacco.htm,1A3,K,2A1,K,4A1,K,1B3,,2B1,,4B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,Web-based Course,FREE,90 minutes,,31,32,,0
Community Health and Disease,1,This course covers the major causes of morbidity and mortality in the U.S. and population-based prevention strategies to address these issues.,http://lms.southcentralpartnership.org/scphp?productID=prdct000000000001006 - requires login,1A3,K,1A1,K,1B3,,5A1,,5B1,,5B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,Web-based Course,free,approximately 4 hours,,32,4,14,0
Epidemic of Obesity,1,,http://www.publichealthgrandrounds.unc.edu/obesity/webcast.htm,1A3,A,5A9,A,1A12,A,5A2,A,1A1,A,6A4,A,1B3,,5B9,,1B12,,5B2,,5A1,,1B1,,5B1,,6B4,,,,,,,,,,,,,,,,,,,164,Webstream,free,1 hour,,30,32,31,0
From Evidence to Practice: A systematic approach to address disparities in birth outcomes,1,"""From Evidence to Practice"" is a self-paced, web-based course that teaches the evidence-based public health decision-making process by plunging learners into a realistic situation. In the course, learners are asked to understand and employ the evidence-based framework to research and develop an intervention strategy that addresses disparities in birth outcomes in a local community. Learners makes a series of choices about finding data to accurately describe the problem, evaluate interventions based on evidence and applicability to the community, and defend their choices. The course outcome -- securing funding for interventions chosen -- depends on sound evidence-based decision-making. As learners work through their assigned tasks in the course, feedback alerts them to how well they have understood the material presented.",http://www.ebph.org/overview.cfm,1A3,K,1A1,A,1B3,,1B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,Web-based Course,Free,~3 hours,,22,34,11,1
Basic Epidemiology,1,"This course is part of a series of programs intended for public health administrators, and nurse administrators, who are relatively new in their positions (3 years or less), and who seek to enhance the knowledge, skills, and abilities they need to succeed. This course is intended for public health practitioners who do not have significant knowledge or experience in the field of epidemiology. The course offers an opportunity to learn how an epidemiologist investigates the causes of disease, its distribution, how it spreads, and measures for control and prevention.",http://open.training-source.org/training/courses#overlay=training/courses/Basic%2520Epidemiology%2520-40875/detail,1A3,A,1A10,A,2A1,A,6A3,A,6A5,A,6A4,A,1B3,,1B10,,2B1,,6B3,,6B5,,6B4,,,,,,,,,,,,,,,,,,,,,,,189,Web-based Course,Free,2 hours,,8,14,37,0
Hepatitis in Sparta: A Multimedia Teaching Module,1,"This course is an interactive, problem-based teaching module based on a fictional outbreak of Hepatitis A. After completion of this course, viewers will be able to: describe how to determine whether an epidemic exists; list the steps in the investigation of an outbreak; discover the source of an outbreak; describe appropriate control measures; define terms including: population, cluster, outbreak, epidemic; draw a traditional epidemic curve; define, distinguish and calculate ratios, proportions, and rates; and explain the importance of collaboration between state and local health agencies in controlling and preventing communicable diseases. (Requires Login)",http://www.bu.edu/publichealthworkforce/training/index.html#g7,1A3,P,8A3,P,1A1,P,6A5,P,6A4,P,5A4,P,1B3,,8B3,,5A1,,1B1,,5B1,,6B5,,8A3,,5B4,,8B3,,,,,,,,,,,,,,,,,214,Web-based Course,Free,1.5 hours,,8,,,0
Cancer Updates (T2B2),1,"This broadcast will present advances in the prevention, detection and treatment of breast, skin, cervical and colorectal cancer. Also, Mr. Hutton will describe the results of recent clinical trials that may help clinicians provide individualized treatments that are more effective and have fewer side effects. In addition, Dr. Lichtveld will discuss cancer core competencies aimed at creating surge capacity in the general health professions workforce.",http://www.albany.edu/sph/coned/t2b2cancerupdates.htm,1A3,A,2A2,A,5A10,A,3A4,A,4A2,A,1A1,A,1B3,,2B2,,5B10,,3B4,,4B2,,5A1,,1B1,,5B1,,,,,,,,,,,,,,,,,,,216,Webstream,Free,1 hour,,4,32,38,0
Teen Depression and Suicide (T2B2),1,"David Shaffer, MD, a world-renowned child psychiatrist and expert on adolescent suicide, will present a comprehensive overview of what we know about the underlying causes of youth suicide and the early identification on an evidence-based mental health and suicide risk screening program, developed as a direct outgrowth of his research on adolescent suicide.",http://www.albany.edu/sph/coned/t2b2depression.htm,1A3,A,1A10,A,1A12,A,2A6,A,1A1,A,6A5,A,1B3,,1B10,,1B12,,2B7,,5A1,,1B1,,5B1,,6B5,,,,,,,,,,,,,,,,,,,217,Webstream,Free,1 hour,,23,,,0
Successful Aging (T2B2),1,"This program will address public health issues affecting older citizens, particularly vascular disease and hip injuries. Dr. Mehta will discuss the signs and symptoms of vascular disease, its associated risk factors and treatment options. Dr. Young will focus on hip injuries, discussing the association between successful aging, disability trends and long-term care needs. The program will offer tips on maintaining health and improving the environment that may contribute to more successful aging.",http://www.albany.edu/sph/coned/t2b2aging.htm,1A3,A,2A1,A,5A10,A,4A1,A,5A8,A,1A1,A,1B3,,2B1,,5B10,,4B1,,5B8,,5A1,,1B1,,5B1,,,,,,,,,,,,,,,,,,,228,Webstream,Free,1 hour,,4,6,16,0
Multicultural Health and Health Disparities: Perspectives on New Jersey,1,This course discusses: 1) the state of minority and multicultural health; 2) the social context of health and health disparities; and 3) ways to address health disparities.,http://ophp.umdnj.edu/CET/Seminars/PHSS/apreso/PHSS070425.htm,1A3,K,1A9,K,4A2,K,5A3,K,5A2,K,5A7,K,1B3,,1B9,,4B2,,5A5,,5B3,,5B5,,5B2,,5B7,,,,,,,,,,,,,,,,,,,246,Satellite Broadcast,Free,1.5 hours,,2,24,,0
From Evidence to Practice: Using a Systematic Approach to Address Disparities in Birth Outcomes,1,"""From Evidence to Practice"" is a self-paced, web-based course, that teaches the evidence-based public health decision-making process by plunging learners into a realistic situation. In the course, learners are asked to understand and employ the evidence-based framework to research and develop an intervention strategy that addresses disparities in birth outcomes in a local community. Learners make a series of choices about finding data to accurately describe the problem, evaluate interventions based on evidence and applicability to the community, and defend their choices. The course outcome — securing funding for interventions chosen — depends on sound evidence-based decision-making. As learners work through their assigned tasks in the course, feedback alerts them to how well they have understood the material presented. Upon finishing the course, they may print out a certificate of completion. ""From Evidence to Practice"" is unique in its approach to web-based content delivery. Please let us know what you think",http://www.ebph.org/overview.cfm,1A3,K,1A1,K,1B3,,1B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,Web-based Course,free,3 hours,,22,33,32,0
"Beyond Numbers: Qualitative Research Methods, Application and Analysis",1,,https://practice.sph.umich.edu/mphtc/site.php?module=courses_one_online_course&id=320,1A4,P,3A6,P,6A5,P,1B4,,3B6,,6B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,Web-based Course,unknown,25 hours,,34,,,0
Evidence-based Decision Making in Public Health,1,"This course, updated in April 2006, is a workshop designed to increase understanding of evidence-based principles among participants and to increase the utilization of systematic approaches in day-to-day public health practice. The course consists of 3 CD’s containing workshop presentations and includes lectures, practice exercises and case studies. Enroll to request the CDs be sent to you. Complete the post-test on the LMS.",http://heartlandcenters.learnpublichealth.com/KView/CustomCodeBehind/Customization/DPH_PreviewPage.aspx?strItemType=CntLink&Id=395A79DF276145F1AD595D47D6CEB1DF,1A4,P,1A9,P,1B4,,1B9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,CD/DVD-ROM,unknown,approximately 17-20 hours,,32,33,31,0
The New Normal: A Context for Public Health,1,"In his keynote address, Dr. Galea discusses the limits of Public Health within the current accepted paradigm, and poses the possibilities and potential of a shift; moving the entire curve, not just the line between what we deem healthy and unhealthy.",http://ophp.umdnj.edu/Apreso/OPHP/12PHS/galea_files/flash_index.htm,1A4,A,1A1,A,6A5,A,6A6,A,6A7,A,6A9,A,1B4,,5A1,,1B1,,5B1,,6B5,,6B6,,6B7,,6B9,,,,,,,,,,,,,,,,,,,204,Satellite Broadcast,Free,1 hour,,11,34,,0
Substance Abuse and Workplace Drug Testing Policy in the United States,1,"By the end of the presentation, the attendee will be able to: 1) State the essential public health functions associated with workplace drug testing; 2) Identify demographic and occupation-related characteristics associated with an increased risk for substance abuse and dependence; 3) Describe employee reports of drug testing and substance abuse education in the workplace; 4) Distinguish between characteristics of employees and workplaces where drug testing occurs and those settings where there is no testing program.",http://webclasses.hsc.wvu.edu/mediasite/viewer/NoPopupRedirector.aspx?peid=ab2694dd-1b2e-4a88-b363-51987b9740b2&shouldResize=False,1A4,A,1A9,A,2A2,A,2A4,A,2A3,A,2A6,A,1B4,,1B9,,2B2,,2B4,,2B3,,2B7,,,,,,,,,,,,,,,,,,,,https://www.train.org/DesktopModules/eLearning/CourseDetails/CourseDetailsForm.aspx?tabid=62&CourseID=1007006,,,233,Web-based Course,Free,1 hour,,26,13,8,0
Project Vaccinate,1,"A seminar that highlights the work of Dr. Wenger in his effort, through Project Vaccinate, to help improve the health of inner city toddlers. Project Vaccinate is recognized by the Centers for Disease Control and Prevention (CDC) for its work in raising the rate of Newark families who successfully have their pre-school children immunized to help prevent serious and often life-threatening illnesses. This seminar will introduce concepts to the participants that will begin to develop their ability to assess conditions of the population and its ability to address their own health priorities, will show, through the Newark project, how to set procedures in place to lessen a public health crisis. This will foster in them belief in a principle that leads to protecting each person in the community from disease.",http://ophp.umdnj.edu/Apreso/OPHP/PHSS/PHSS080123.htm,1A4,A,1A3,A,1A1,A,6A5,A,6A4,A,6A7,A,1B4,,1B3,,5A1,,1B1,,5B1,,6B5,,6B7,,6B4,,,,,,,,,,,,,,,,,,,285,Other,Free,1.5 hours,,14,22,11,0
A Look at the Tsunami Four Years Later,1,"The tsunami struck in December 2004.  After four years, what has the effort to restore the land been like? This presentation will discuss the presenters’ direct involvement in assisting Tsunami survivors rebuild their infrastructure, while developing public health policy and plans that build capacity in Thailand within South East Asia. They will look at the issues that have developed over the last four years.",http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/3/11_PHSS_-_A_Look_at_the_Tsunami_Four_Years_Later.html,1A4,A,2B5,A,2A1,A,2A8,A,1B4,,2B1,,2B9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,Web-based Course,free,1.5 hours,,17,,,0
