Comp01,Comp01Level,Comp02,Comp02Level,Comp03,Comp03Level,Comp04,Comp04Level,Comp05,Comp05Level,Comp06,Comp06Level,Cost,CourseID,CourseTitle,CourseURL,DateEdited,Description,Duration,Format,SubjArea2,TRAINURL,UserEdited,competency_domain,display,email,id,label,original,subjArea1,subjArea3
1A2. Describes the characteristics of a population-based problem,A,1A3,A,1A5,A,1A1,A,6A1,A,1B2,,free,323,Gangs: Raising a Public Health Issue - Part 2,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2008/9/24_PHSS_-_Gangs_-_Raising_A_Public_Health_Issue_-_Part_2.html,,"This presentation further informs the viewer of the culture of gangs in New Jersey.  He reviews what defines a gang, the risk factors that may push children into the culture, and, the roles and responsibilities of inter-agency collaboration as they relate to addressing gang involvement. This seminar also addresses the obligation of identifying problem areas in the community and drawing attention to them for improvement. It will also address the leadership principle of protecting citizens from injury (intentional and unintentional) within the community setting.",1.5 hours,Web-based Course,28,,,Analytical/Assessment Skills,1,,323,Gangs: Raising a Public Health Issue - Part 2,0,Injury / Violence,
1A2. Describes the characteristics of a population-based problem,A,1A3,A,1A1,A,6A4,A,6A6,A,1B2,,free,325,Assessing the Issue of Lead,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2008/12/2_PHSS_Assessing_the_Issue_of_Lead.html,,"This presentation focuses on giving a foundational understanding of the principles of protecting each person in the community from disease, injury, and other health hazards as it relates to the issue of lead poison prevention. The presenter focuses on community relations as it relates to developing constructive partnerships that focus on community public health needs. This in turn strengthens the public health infrastructure and its essential services to direct necessary changes as it pertains to the issue of lead abatement.",1.5 hours,Web-based Course,28,,,Analytical/Assessment Skills,1,,325,Assessing the Issue of Lead,0,Environmental  / Industrial Health,
1A2. Describes the characteristics of a population-based problem,A,1A3,A,1A5,A,1A1,A,6A1,A,1B2,,free,328,Does New Jersey Have a Meth Crisis?,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/2/17_PHSS_-_Does_New_Jersey_have_a_METH_Crisis.html,,"This seminar presents a perspective on Methamphetamine (Meth) use as a major public health threat to individuals, families, and communities, in particular in New Jersey. It is a problem that affects many segments of society regardless of gender, age, sexual orientation, socioeconomic status, or race/ethnicity. Children are at high risk for harm when exposed to meth use and manufacturing. The presentation will include recent information from the National Meth Summit held in Washington DC Nov. 2008.",1.5 hours,Web-based Course,,,,Analytical/Assessment Skills,1,,328,Does New Jersey Have a Meth Crisis?,0,Substance Abuse (alcohol,
1A2. Describes the characteristics of a population-based problem,A,3A2,A,4A2,A,4A3,A,4A4,A,1A1,A,free,344,Men's Health,http://www.albany.edu/sph/coned/phl/menshealth.htm,,"Males of all ages experience disproportionately higher rates for injury and premature death. Further, they lead more risky lifestyles and generally avoid preventive care. This presents a public health dilemma that affects not only males but also their families, workplaces, and communities. A combination of health psychology, gender studies, and health promotion models provides a critical analysis of these factors. They also offer a means to create more male-affirming and effective health care and to lessen gender health disparities.After watching this broadcast participants will be able to:    * Describe the nature and scale of men's health concerns.    * Explain the importance of male psychology in male health behaviors    * Discuss more effective health communication skills in working with men.    * Utilize resources and best practices for men's health promotion.Males of all ages experience disproportionately higher rates for injury and premature death. Further, they lead more risky lifestyles and generally avoid preventive care. This presents a public health dilemma that affects not only males but also their families, workplaces, and communities. A combination of health psychology, gender studies, and health promotion models provides a critical analysis of these factors. They also offer a means to create more male-affirming and effective health care and to lessen gender health disparities.After watching this broadcast participants will be able to:    * Describe the nature and scale of men's health concerns.    * Explain the importance of male psychology in male health behaviors    * Discuss more effective health communication skills in working with men.    * Utilize resources and best practices for men's health promotion.Males of all ages experience disproportionately higher rates for injury and premature death. Further, they lead more risky lifestyles and generally avoid preventive care. This presents a public health dilemma that affects not only males but also their families, workplaces, and communities. A combination of health psychology, gender studies, and health promotion models provides a critical analysis of these factors. They also offer a means to create more male-affirming and effective health care and to lessen gender health disparities.After watching this broadcast participants will be able to:    * Describe the nature and scale of men's health concerns.    * Explain the importance of male psychology in male health behaviors    * Discuss more effective health communication skills in working with men.    * Utilize resources and best practices for men's health promotion.Males of all ages experience disproportionately higher rates for injury and premature death. Further, they lead more risky lifestyles and generally avoid preventive care. This presents a public health dilemma that affects not only males but also their families, workplaces, and communities. A combination of health psychology, gender studies, and health promotion models provides a critical analysis of these factors. They also offer a means to create more male-affirming and effective health care and to lessen gender health disparities.After watching this broadcast participants will be able to:    * Describe the nature and scale of men's health concerns.    * Explain the importance of male psychology in male health behaviors    * Discuss more effective health communication skills in working with men.    * Utilize resources and best practices for men's health promotion.",1 hour,Webstream,,,,Analytical/Assessment Skills,1,,344,Men's Health,0,Prevention / Promotion,
1A2. Describes the characteristics of a population-based problem,A,1A3,A,1A1,A,6A4,A,6A9,A,1B2,,free,345,Childhood Lead Poisoning Prevention: A Comprehensive Public Health Response to an Environmental Issue,http://www.albany.edu/sph/coned/phl/childhoodlead.htm,,"Lead is a toxin that can harm young children as their bodies develop. It can damage the organs in developing children or lead to learning and behavioral problems. This program will look at how recent surveillance data can be used to create a housing-based approach to eliminating lead poisoning. It will also look at how to best assess a childs blood lead level and subsequent procedures, including further testing and guidance, if the lead level is elevated.After watching this broadcast participants will be able to:    * Explain why exposure to environmental lead is a health concern for young children.    * Describe the steps taken to determine a childrs blood lead level and what happens if the level is elevated.    * Describe how the lead surveillance data is used to develop a housing based approach for the prevention of childhood lead poisoning.Lead is a toxin that can harm young children as their bodies develop. It can damage the organs in developing children or lead to learning and behavioral problems. This program will look at how recent surveillance data can be used to create a housing-based approach to eliminating lead poisoning. It will also look at how to best assess a childs blood lead level and subsequent procedures, including further testing and guidance, if the lead level is elevated.After watching this broadcast participants will be able to:    * Explain why exposure to environmental lead is a health concern for young children.    * Describe the steps taken to determine a childrs blood lead level and what happens if the level is elevated.    * Describe how the lead surveillance data is used to develop a housing based approach for the prevention of childhood lead poisoning.Lead is a toxin that can harm young children as their bodies develop. It can damage the organs in developing children or lead to learning and behavioral problems. This program will look at how recent surveillance data can be used to create a housing-based approach to eliminating lead poisoning. It will also look at how to best assess a childs blood lead level and subsequent procedures, including further testing and guidance, if the lead level is elevated.After watching this broadcast participants will be able to:    * Explain why exposure to environmental lead is a health concern for young children.    * Describe the steps taken to determine a childrs blood lead level and what happens if the level is elevated.    * Describe how the lead surveillance data is used to develop a housing based approach for the prevention of childhood lead poisoning.Lead is a toxin that can harm young children as their bodies develop. It can damage the organs in developing children or lead to learning and behavioral problems. This program will look at how recent surveillance data can be used to create a housing-based approach to eliminating lead poisoning. It will also look at how to best assess a childs blood lead level and subsequent procedures, including further testing and guidance, if the lead level is elevated.After watching this broadcast participants will be able to:    * Explain why exposure to environmental lead is a health concern for young children.    * Describe the steps taken to determine a childrs blood lead level and what happens if the level is elevated.    * Describe how the lead surveillance data is used to develop a housing based approach for the prevention of childhood lead poisoning.",1 hour,Webstream,22,,,Analytical/Assessment Skills,1,,345,Childhood Lead Poisoning Prevention: A Comprehensive Public Health Response to an Environmental Issue,0,Environmental  / Industrial Health,32
1A2. Describes the characteristics of a population-based problem,A,1A1,A,6A7,A,1B2,,5A1,,1B1,,free,346,Vaccine Acceptance,http://www.albany.edu/sph/coned/phl/vaccine.htm,,"Last year saw the largest outbreak of measles cases in recent times.  This year, the public braces for an onslaught of the H1N1 influenza virus.  As a growing number of people opt out of immunizations, some herd immunity is lost.  This puts the general population particularly those who cannot receive immunizations at higher risk of developing preventable diseases.  This program examines the benefits of health care worker and child immunization while addressing myths that may lead an individual to avoid vaccination.      After watching this broadcast participants will be able to:          o Explain the major benefits of immunization and herd immunity.          o Name two vaccine-preventable diseases that have affected children in recent years.          o Explain the argument that rejects thimerosal as an autism-inducing agent.Last year saw the largest outbreak of measles cases in recent times.  This year, the public braces for an onslaught of the H1N1 influenza virus.  As a growing number of people opt out of immunizations, some herd immunity is lost.  This puts the general population particularly those who cannot receive immunizations at higher risk of developing preventable diseases.  This program examines the benefits of health care worker and child immunization while addressing myths that may lead an individual to avoid vaccination.      After watching this broadcast participants will be able to:          o Explain the major benefits of immunization and herd immunity.          o Name two vaccine-preventable diseases that have affected children in recent years.          o Explain the argument that rejects thimerosal as an autism-inducing agent.Last year saw the largest outbreak of measles cases in recent times.  This year, the public braces for an onslaught of the H1N1 influenza virus.  As a growing number of people opt out of immunizations, some herd immunity is lost.  This puts the general population particularly those who cannot receive immunizations at higher risk of developing preventable diseases.  This program examines the benefits of health care worker and child immunization while addressing myths that may lead an individual to avoid vaccination.      After watching this broadcast participants will be able to:          o Explain the major benefits of immunization and herd immunity.          o Name two vaccine-preventable diseases that have affected children in recent years.          o Explain the argument that rejects thimerosal as an autism-inducing agent.Last year saw the largest outbreak of measles cases in recent times.  This year, the public braces for an onslaught of the H1N1 influenza virus.  As a growing number of people opt out of immunizations, some herd immunity is lost.  This puts the general population particularly those who cannot receive immunizations at higher risk of developing preventable diseases.  This program examines the benefits of health care worker and child immunization while addressing myths that may lead an individual to avoid vaccination.      After watching this broadcast participants will be able to:          o Explain the major benefits of immunization and herd immunity.          o Name two vaccine-preventable diseases that have affected children in recent years.          o Explain the argument that rejects thimerosal as an autism-inducing agent.",1 hour,Webstream,22,,,Analytical/Assessment Skills,1,,346,Vaccine Acceptance,0,Infectious Diseases / Immunizations,13
1A2. Describes the characteristics of a population-based problem,A,4A1,A,4A2,A,5A7,A,1A1,A,1B2,,free,347,Post-traumatic Stress Disorder in Veterans,http://www.albany.edu/sph/coned/phl/ptsd.htm,,"As more men and woman return to the United States after serving abroad in the military, there is an increased need for awareness, education, and services related to Post-traumatic Stress Disorder (PTSD). This program will provide an overview of services currently offered by the New York State Division of Veteran Affairs, particularly as they relate to counseling and other veteran-awarded benefits.  This program will also look at the clinical side of Post-traumatic Stress Disorder.  It will examine warning signs of PTSD, consider substance abuse related to PTSD, and discuss effective treatment for veterans struggling with PTSD.After watching this broadcast participants will be able to:    * Describe symptoms of PTSD in veterans.    * Describe services available to veterans provided by the Division of Veteransr Affairs related to PTSD.    * Explain differences between effective and non-effective treatments for veterans struggling with post traumatic stress.As more men and woman return to the United States after serving abroad in the military, there is an increased need for awareness, education, and services related to Post-traumatic Stress Disorder (PTSD). This program will provide an overview of services currently offered by the New York State Division of Veteran Affairs, particularly as they relate to counseling and other veteran-awarded benefits.  This program will also look at the clinical side of Post-traumatic Stress Disorder.  It will examine warning signs of PTSD, consider substance abuse related to PTSD, and discuss effective treatment for veterans struggling with PTSD.After watching this broadcast participants will be able to:    * Describe symptoms of PTSD in veterans.    * Describe services available to veterans provided by the Division of Veteransr Affairs related to PTSD.    * Explain differences between effective and non-effective treatments for veterans struggling with post traumatic stress.As more men and woman return to the United States after serving abroad in the military, there is an increased need for awareness, education, and services related to Post-traumatic Stress Disorder (PTSD). This program will provide an overview of services currently offered by the New York State Division of Veteran Affairs, particularly as they relate to counseling and other veteran-awarded benefits.  This program will also look at the clinical side of Post-traumatic Stress Disorder.  It will examine warning signs of PTSD, consider substance abuse related to PTSD, and discuss effective treatment for veterans struggling with PTSD.After watching this broadcast participants will be able to:    * Describe symptoms of PTSD in veterans.    * Describe services available to veterans provided by the Division of Veteransr Affairs related to PTSD.    * Explain differences between effective and non-effective treatments for veterans struggling with post traumatic stress.As more men and woman return to the United States after serving abroad in the military, there is an increased need for awareness, education, and services related to Post-traumatic Stress Disorder (PTSD). This program will provide an overview of services currently offered by the New York State Division of Veteran Affairs, particularly as they relate to counseling and other veteran-awarded benefits.  This program will also look at the clinical side of Post-traumatic Stress Disorder.  It will examine warning signs of PTSD, consider substance abuse related to PTSD, and discuss effective treatment for veterans struggling with PTSD.After watching this broadcast participants will be able to:    * Describe symptoms of PTSD in veterans.    * Describe services available to veterans provided by the Division of Veteransr Affairs related to PTSD.    * Explain differences between effective and non-effective treatments for veterans struggling with post traumatic stress.",1 hour,Webstream,32,,,Analytical/Assessment Skills,1,,347,Post-traumatic Stress Disorder in Veterans,0,Mental Health,
1A2. Describes the characteristics of a population-based problem,A,4A2,A,4A3,A,4A4,A,1A1,A,1B2,,free,348,Responsible Fatherhood,http://www.albany.edu/sph/coned/phl/fatherhood.htm,,"The health of men is an important factor in determining the well being and stability of a community.  From a social determinant point of view, fathers/men with unhealthy lifestyles have an adverse impact on families and do little to promote positive youth development. Additionally, men of all races and socio-economic status are less likely to practice good health, visit health care providers, and take care of themselves.  If we are to attempt to improve community health, we must direct more focus on mens health and responsible/positive fathering.After watching this broadcast participants will be able to:    * Explain the impact of positive male parenting to build strong communities    * Identify challenges and opportunities for men/fathers to contribute to the well-being of communities    * Describe the model and best practices in the responsible fathering communityThe health of men is an important factor in determining the well being and stability of a community.  From a social determinant point of view, fathers/men with unhealthy lifestyles have an adverse impact on families and do little to promote positive youth development. Additionally, men of all races and socio-economic status are less likely to practice good health, visit health care providers, and take care of themselves.  If we are to attempt to improve community health, we must direct more focus on mens health and responsible/positive fathering.After watching this broadcast participants will be able to:    * Explain the impact of positive male parenting to build strong communities    * Identify challenges and opportunities for men/fathers to contribute to the well-being of communities    * Describe the model and best practices in the responsible fathering communityThe health of men is an important factor in determining the well being and stability of a community.  From a social determinant point of view, fathers/men with unhealthy lifestyles have an adverse impact on families and do little to promote positive youth development. Additionally, men of all races and socio-economic status are less likely to practice good health, visit health care providers, and take care of themselves.  If we are to attempt to improve community health, we must direct more focus on mens health and responsible/positive fathering.After watching this broadcast participants will be able to:    * Explain the impact of positive male parenting to build strong communities    * Identify challenges and opportunities for men/fathers to contribute to the well-being of communities    * Describe the model and best practices in the responsible fathering community",1 hour,Webstream,33,,,Analytical/Assessment Skills,1,,348,Responsible Fatherhood,0,Prevention / Promotion,
1A2. Describes the characteristics of a population-based problem,A,1A4,A,1A1,A,1B2,,1B4,,5A1,,free,350,Family Health History in Primary Care and Public Health,http://www.albany.edu/sph/cphce/phl_31810.shtml,,"For several years, the Surgeon Generalrs My Family Health Portrait tool has been available to the public, and individuals and families have been encouraged to discuss their family health histories at family reunions and Thanksgiving celebrations. The expectation is that knowledge about family health history will inform risk assessment and serve as the basis for offering patients appropriately tailored preventive interventions such as diet, exercise or other lifestyle changes, education about signs and symptoms to facilitate earlier recognition of disease, alternative screening protocols, and, if appropriate, prophylactic pharmaceutical or surgical interventions. In the face of direct-to-consumer marketing of genetic tests, medical and public health professionals must understand why family history is important in the assessment of chronic disease risk, what tools are available to assess family health history information and how to incorporate family health history tools and information into chronic disease p",1 hour,Webstream,12,,,Analytical/Assessment Skills,1,,350,Family Health History in Primary Care and Public Health,0,Chronic Diseases,32
1A2. Describes the characteristics of a population-based problem,A,5A2,A,1B2,,5B2,,,,,,free,351,Palliative Care,http://www.albany.edu/sph/cphce/phl_3410.shtml,,"Chronic diseases such as cancer, heart disease and diabetes continue to be the leading causes of death in the United States. Serious, life-threatening and debilitating chronic conditions affect the quality of life for many people and their families. Palliative care (PC) provides patient and family-centered care that optimizes quality of life by anticipating, preventing and treating suffering at any time from diagnosis through the end of life.  Studies suggest that the use of PC as an integral part of patient care has a beneficial impact on both a patients quality of life and attendant health care costs.After watching this broadcast participants will be able to:    * Comprehend the history and evolution of the concept of PC    * Value the use of PC as an integral part of all areas of medical practice, not just end-of-life care    * Understand the importance of PC on patient/family quality of life issues as well as control and management of a chronic disease    * Recognize the impact of PC on heaChronic diseases such as cancer, heart disease and diabetes continue to be the leading causes of death in the United States. Serious, life-threatening and debilitating chronic conditions affect the quality of life for many people and their families. Palliative care (PC) provides patient and family-centered care that optimizes quality of life by anticipating, preventing and treating suffering at any time from diagnosis through the end of life.  Studies suggest that the use of PC as an integral part of patient care has a beneficial impact on both a patients quality of life and attendant health care costs.After watching this broadcast participants will be able to:    * Comprehend the history and evolution of the concept of PC    * Value the use of PC as an integral part of all areas of medical practice, not just end-of-life care    * Understand the importance of PC on patient/family quality of life issues as well as control and management of a chronic disease    * Recognize the impact of PC on heaChronic diseases such as cancer, heart disease and diabetes continue to be the leading causes of death in the United States. Serious, life-threatening and debilitating chronic conditions affect the quality of life for many people and their families. Palliative care (PC) provides patient and family-centered care that optimizes quality of life by anticipating, preventing and treating suffering at any time from diagnosis through the end of life.  Studies suggest that the use of PC as an integral part of patient care has a beneficial impact on both a patients quality of life and attendant health care costs.After watching this broadcast participants will be able to:    * Comprehend the history and evolution of the concept of PC    * Value the use of PC as an integral part of all areas of medical practice, not just end-of-life care    * Understand the importance of PC on patient/family quality of life issues as well as control and management of a chronic disease    * Recognize the impact of PC on hea",1 hour,Webstream,42,,,Analytical/Assessment Skills,1,,351,Palliative Care,0,Chronic Diseases,28
1A2. Describes the characteristics of a population-based problem,A,2A1,A,6A9,A,4B3,A,4A3,A,1B2,,free,352,Building Healthy Communities through Universal Design,http://www.albany.edu/sph/cphce/phl_22510.shtml,,"Universal Design (UD) is a framework for the design of places, things, information, communication and policy that focuses on the user, on the widest range of people operating in the widest range of situations without special or separate design. It is a philosophy that can be applied to policy, systems and environmental changes, so that processes function better for a wider range of people. It developed in response to insights about the potential of design as an asset and facilitator to in response to changing demographics and the diversity of human populations, their abilities and their needs.  UD is also called inclusive design, human centered design and design-for-all.The principles of UD have a significant role in advancing Public Health efforts to improve health outcomes and reduce disparities among populations. The broadcast will discuss the principles of Universal Design and its application in building healthy communities.  Speakers will discuss the evolution of this design philosophy and describe itsUniversal Design (UD) is a framework for the design of places, things, information, communication and policy that focuses on the user, on the widest range of people operating in the widest range of situations without special or separate design. It is a philosophy that can be applied to policy, systems and environmental changes, so that processes function better for a wider range of people. It developed in response to insights about the potential of design as an asset and facilitator to in response to changing demographics and the diversity of human populations, their abilities and their needs.  UD is also called inclusive design, human centered design and design-for-all.The principles of UD have a significant role in advancing Public Health efforts to improve health outcomes and reduce disparities among populations. The broadcast will discuss the principles of Universal Design and its application in building healthy communities.  Speakers will discuss the evolution of this design philosophy and describe itsUniversal Design (UD) is a framework for the design of places, things, information, communication and policy that focuses on the user, on the widest range of people operating in the widest range of situations without special or separate design. It is a philosophy that can be applied to policy, systems and environmental changes, so that processes function better for a wider range of people. It developed in response to insights about the potential of design as an asset and facilitator to in response to changing demographics and the diversity of human populations, their abilities and their needs.  UD is also called inclusive design, human centered design and design-for-all.The principles of UD have a significant role in advancing Public Health efforts to improve health outcomes and reduce disparities among populations. The broadcast will discuss the principles of Universal Design and its application in building healthy communities.  Speakers will discuss the evolution of this design philosophy and describe its",1 hour,Webstream,24,,,Analytical/Assessment Skills,1,,352,Building Healthy Communities through Universal Design,0,Policy / Planning,33
1A2. Describes the characteristics of a population-based problem,A,4A1,A,4A2,A,4A3,A,1A1,A,1B2,,free,354,Health Interventions for Immigrant and Migrant Populations,http://www.albany.edu/sph/coned/phl/immigranthealth.htm,,"Immigrants and migrant workers to the United States face a variety of barriers that may make access to health care difficult.  These barriers can be linked to their economic, social, and cultural status. Health interventions for such populations circumvent barriers by being mindful of cultural and economic issues that may preclude families from receiving timely, quality health care. Such health interventions include conducting community outreach programs, providing culturally competent care, and providing education to immigrant and migrant populations. Such efforts connect families to health care and promote healthy living. Ultimately, health interventions for immigrant and migrant groups strive to alleviate health issues that are disproportionately high in such populations relative to the general population.  Learning objectives:    * Identify two cultural barriers that make access to health care difficult.    * Name two interventions that may overcome the marginal economic status of some immigrants/miImmigrants and migrant workers to the United States face a variety of barriers that may make access to health care difficult.  These barriers can be linked to their economic, social, and cultural status. Health interventions for such populations circumvent barriers by being mindful of cultural and economic issues that may preclude families from receiving timely, quality health care. Such health interventions include conducting community outreach programs, providing culturally competent care, and providing education to immigrant and migrant populations. Such efforts connect families to health care and promote healthy living. Ultimately, health interventions for immigrant and migrant groups strive to alleviate health issues that are disproportionately high in such populations relative to the general population.  Learning objectives:    * Identify two cultural barriers that make access to health care difficult.    * Name two interventions that may overcome the marginal economic status of some immigrants/miImmigrants and migrant workers to the United States face a variety of barriers that may make access to health care difficult.  These barriers can be linked to their economic, social, and cultural status. Health interventions for such populations circumvent barriers by being mindful of cultural and economic issues that may preclude families from receiving timely, quality health care. Such health interventions include conducting community outreach programs, providing culturally competent care, and providing education to immigrant and migrant populations. Such efforts connect families to health care and promote healthy living. Ultimately, health interventions for immigrant and migrant groups strive to alleviate health issues that are disproportionately high in such populations relative to the general population.  Learning objectives:    * Identify two cultural barriers that make access to health care difficult.    * Name two interventions that may overcome the marginal economic status of some immigrants/mi",1 hour,Webstream,24,,,Analytical/Assessment Skills,1,,354,Health Interventions for Immigrant and Migrant Populations,0,Cultural Competence,33
1A2. Describes the characteristics of a population-based problem,A,1A3,A,4A1,A,4A2,A,5A7,A,1B2,,free,355,Social Equity in Birth Outcomes: Black Infant Mortality Reduction in NJ,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/9/10_PHSS_-Black_Infant_Mortality_Reduction_in_New_Jersey.html,,"In the United States, racial and ethnic disparities in infant mortality persist despite greater medical and technological advances and steady declines in prevalence. In New Jersey, Black infants experience premature death at two to three times the rates of White infants. Stress is a major modifiable risk factor for adverse birth outcomes among women of color. Stress has been linked to preterm delivery, and researchers are examining the impact of racism on this psychosocial response including anxiety, depression, and anger. The Black Infant Mortality Reduction Resource Center (BIMRRC) within the Northern NJ Maternal/Child Health Consortium was established in 1999 to increase awareness of racial/ethnic perinatal health disparities. This presentation will discuss current statistics related to pregnancy outcomes, discuss the role of stress and racism in reducing disparities, and highlight new evidence-based interventions that have improved pregnancy outcomes for Black women.",1 hour,Webstream,24,,,Analytical/Assessment Skills,1,,355,Social Equity in Birth Outcomes: Black Infant Mortality Reduction in NJ,0,Maternal / Child Health,23
1A2. Describes the characteristics of a population-based problem,A,1A3,A,4A2,A,5A3,A,3A6,A,5A2,A,free,356,Gangs: A Bridge between Public Health and Police -- The Edison Case Study,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/9/23_PHSS_-_Gangs_-_A_Bridge_Between_Public_Health_and_Police.html,,"The Edison Township Department of Health and Human Services through its Municipal Alliance program has worked on gang prevention programming for over 10 years in cooperation with the Edison Police Department. This seminar is a case study that tracks the development of Edison's gang prevention programs within the community. The presenter will take the participants from initial discussions on low level gang activity, to documenting the progression of more aggressive gang activity. Participants will be given thorough survey data and the steps taken culminating in program development, expansion and entrenchment in the community. They will also be given information regarding the barriers faced in development and issues of implementation. They will also be presented with advantages of coalition-based programming housed within a public health department with cooperative implementation by a police department.",1 hour,Webstream,28,,,Analytical/Assessment Skills,1,,356,Gangs: A Bridge between Public Health and Police -- The Edison Case Study,0,Injury / Violence,33
1A2. Describes the characteristics of a population-based problem,A,1A3,A,1A5,A,5A10,A,4A2,A,1A1,A,free,357,The Unheard Voice: Addressing Violence Against Women with Disabilities,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/10/6_PHSS_-_Addressing_Violence_Against_Women_with_Disabilities.html,,"The Department of Human Services, Division of Disability Services was awarded a three-year grant in 2005, from the Robert Wood Johnson Foundation, New Jersey Health Initiatives (RWJF). This grant project, titled The Unheard Voice: Addressing Violence Against Women with Disabilities began as a statewide conference held in September of 2004, and has continued unto this day providing training and education materials for healthcare providers and for women with disabilities on issues of violence and other abuse, for use in New Jersey. The seminar is an educational session to help participants recognize violence and other abuse perpetrated against women with disabilities and to provide appropriate, sensitive supports and highlight services available to this population. The presentation will challenge participant's abilities to assess and recognize signs of abuse; and respond appropriately and sensitively by providing support, services, and referrals that address the special needs of women with disabilities. Parti",1 hour,Webstream,6,,,Analytical/Assessment Skills,1,,357,The Unheard Voice: Addressing Violence Against Women with Disabilities,0,Injury / Violence,40
1A2. Describes the characteristics of a population-based problem,A,1A3,A,1A5,A,1A9,A,1A10,A,2A1,A,free,359,2009 Pandemic Influenza: H1N1 Current Status and Updates,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/11/10_PHSS_-_H1N1_-_Swine_Flu_-_Information_and_Update.html,,"2009 H1N1 (referred to as swine flu early on) is a new influenza virus causing illness in people. This new virus was first detected in people in the United States in April 2009. This virus is spreading from person-to-person worldwide, probably in much the same way that regular seasonal influenza viruses spread. On June 11, 2009, the World Health Organization (WHO) signaled that a pandemic of 2009 H1N1 flu was underway. This workshop will present some of the history and understanding the science community brings us about the viral evolution of the novel influenze A (H1N1), along with the changing epidemiology of the pandemic. The presenter will lay out the implications associated with the idea of a pandemic situation, will discuss mode of transmission among humans, what the signs and symptoms of this virus are, and will review the prevention and treatment options as well as the recommended public health policies and practices with respect to the novel influenza A (H1N1) virus.",1.5 hours,Webstream,8,,,Analytical/Assessment Skills,1,,359,2009 Pandemic Influenza: H1N1 Current Status and Updates,0,Infectious Diseases / Immunizations,32
1A2. Describes the characteristics of a population-based problem,A,1A3,A,1A5,A,1A10,A,8A1,A,1B2,,free,360,Preventing Workplace Violence,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2009/12/15_PHSS_-_Preventing_Workplace_Violence.html,,"The National Institute for Occupational Safety and Health (NIOSH) defines workplace violence as violent acts (including physical assaults and threats of assaults) directed toward persons at work or on duty. This includes terrorism as illustrated by the terrorist acts of September 11, 2001 that resulted in the deaths of 2,886 workers in New York, Virginia and Pennsylvania. Incidents of work related violence were virtually unheard of until the 1970s. Since then, it has more than tripled. There are many contributing factors and social issues, especially substance abuse, illegal drugs, access to guns, the portrayal of violence in the news media, online games, TV and movies layoffs, and poverty are major contributors to occupational violence. The goal of the program is to provide an overview to address potential or actual workplace violence.",1.5 hours,Webstream,16,,,Analytical/Assessment Skills,1,,360,Preventing Workplace Violence,0,Occupational Safety and Health,36
1A2. Describes the characteristics of a population-based problem,A,1A3,A,4A1,A,4A2,A,4A3,A,1B2,,free,361,Colorectal Cancer Screening in the African-American Community,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2010/1/6_PHSS_-_Colorectal_Cancer_Screening_in_the_African-American_Community.html,,"Colorectal cancer (CRC) affects all racial and ethnic groups, but African-Americans have the highest occurrence of CRC among all racial and ethnic groups in the US. Furthermore, CRC screening is underused among African-Americans. Various factors have been identified as barriers and facilitators to CRC screening among African-Americans. This presentation will inform participants about the background and significance of CRC screening in the African-American community, CRC treatment options, barriers and facilitators to CRC screening in this community and suggested strategies to improve screening rates. Participants will learn about CRC screening in the African-American community in the attempt to help minimize adverse health outcomes in this population and address the wider societal problem of health disparities in the US. Additionally, participants will have the opportunity to reflect on how health interventions can be more responsive to the cultural, ethnic, and social characteristics of affected populations.",1 hour,Webstream,5,,,Analytical/Assessment Skills,1,,361,Colorectal Cancer Screening in the African-American Community,0,Minority Health / Health Disparities,4
1A2. Describes the characteristics of a population-based problem,A,1A3,A,1A5,A,1A9,A,1A10,A,2A1,A,free,362,Tuberculosis Update 2010,http://ophp.umdnj.edu/OPHPpodcasts/PublicHealthcast/Entries/2010/2/4_PHSS_-_Tuberculosis_Update_2010.html,,"This seminar will present information on epidemiology of tuberculosis, both globally and in the United States. Tuberculosis continues to be a major public health threat globally; in 2006 there were 9.2 million new cases of tuberculosis and 1.7 million deaths from TB worldwide. The seminar will also discuss current challenges to TB control including drug resistance, the TB/HIV co-epidemic and lack of resources for diagnosis and treatment in international settings. Tuberculosis is still a challenge in the United States as well, particularly in specific populations. Since TB is airborne and a person with infectious TB can be a threat to public health, a system of public health regulations exists around diagnosis, reporting, and treatment. The seminar will also provide an overview of the public health practices and infrastructure involved in TB control nationally, and specifically in New Jersey.",1.5 hours,Webstream,17,,,Analytical/Assessment Skills,1,,362,Tuberculosis Update 2010,0,Infectious Diseases / Immunizations,8
